Method,SNR,nestboot,topology,random,Max_AUROC,Max_MCC,Max_F1
Lasso,10,No,smallworld_scalefree,Yes,0.5058154801282377,0.03651503197430847,0.15973003374578176
Lasso,10,yes,smallworld_scalefree,No,0.48360795888249963,-0.2233901178325398,0.12598425196850394
LSCO,10,No,smallworld_scalefree,No,0.7602442623785051,0.2889609956542995,0.31444759206798867
LSCO,10,No,smallworld_scalefree,Yes,0.5023652740318559,0.013731748952643352,0.15867158671586717
LSCO,10,yes,smallworld_scalefree,No,0.5332135769172053,0.01071280264582386,0.15122228538942584
CLR,10,No,smallworld_scalefree,No,0.519960307363493,0.0666080764108028,0.12392039053698835
CLR,10,No,smallworld_scalefree,Yes,0.5046491272708767,0.015423591463976876,0.1253538212697129
CLR,10,yes,smallworld_scalefree,No,0.5078713551473207,0.03789029730706367,0.12617839013778098
GENIE3,10,No,smallworld_scalefree,No,0.628409750139942,0.22295856304531794,0.2617283950617284
GENIE3,10,No,smallworld_scalefree,Yes,0.499781181619256,-0.006136108067566259,0.12448132780082986
GENIE3,10,yes,smallworld_scalefree,No,0.6231377538038777,0.17976144446857556,0.2513863216266174
TIGRESS,10,No,smallworld_scalefree,No,0.5560236120299221,0.07504595993469898,0.17475728155339806
TIGRESS,10,No,smallworld_scalefree,Yes,0.49510457483079745,-0.023699912879970905,0.12355212355212354
TIGRESS,10,yes,smallworld_scalefree,No,0.5523505165131546,0.049842343203769984,0.16515837104072398
Lasso,10,No,smallworld_scalefree,No,0.6761792264752792,0.19510692249035355,0.2654462242562929
Lasso,10,No,smallworld_scalefree,Yes,0.5217264752791069,0.023529814356493112,0.16340361445783133
Lasso,10,yes,smallworld_scalefree,No,0.454890350877193,-0.24343142666764783,0.1281759575274934
LSCO,10,No,smallworld_scalefree,No,0.6497547846889952,0.2031451926419739,0.21706586826347307
LSCO,10,No,smallworld_scalefree,Yes,0.5,0.02157294081153705,0.1624815361890694
LSCO,10,yes,smallworld_scalefree,No,0.478945374800638,-0.044759041755552044,0.13634311512415348
CLR,10,No,smallworld_scalefree,No,0.5173923444976076,0.05135295233815412,0.12889812889812888
CLR,10,No,smallworld_scalefree,Yes,0.49956140350877193,-0.004706520789374209,0.12807881773399013
CLR,10,yes,smallworld_scalefree,No,0.5048504784688995,0.0397138228576023,0.12743628185907047
GENIE3,10,No,smallworld_scalefree,No,0.5902173046251993,0.16370204985843492,0.2304832713754647
GENIE3,10,No,smallworld_scalefree,Yes,0.499780701754386,-0.006213850336343093,0.13023255813953485
GENIE3,10,yes,smallworld_scalefree,No,0.5911503189792664,0.14085639756966953,0.22357723577235772
TIGRESS,10,No,smallworld_scalefree,No,0.5677212918660286,0.08916045331217058,0.1898928024502297
TIGRESS,10,No,smallworld_scalefree,Yes,0.4978867623604466,-0.004282137210203896,0.1440846001321877
TIGRESS,10,yes,smallworld_scalefree,No,0.5513147926634769,0.05293146538702098,0.17016574585635358
Lasso,1000,No,scalefree,No,0.9919856194690265,0.4970354776888249,0.5121019108280255
Lasso,1000,No,scalefree,Yes,0.5075626843657817,0.029107341445195292,0.17714923706736138
Lasso,1000,yes,scalefree,No,0.7421119100294985,-0.19560540577129773,0.14613291877186163
LSCO,1000,No,scalefree,No,0.9903650442477877,0.9509907085360715,0.9554140127388535
LSCO,1000,No,scalefree,Yes,0.5437370943952803,0.04526972927773058,0.18173797970886635
LSCO,1000,yes,scalefree,No,0.7921082227138643,0.3197850122072101,0.3827956989247312
CLR,1000,No,scalefree,No,0.5594137168141593,0.11678764399440628,0.18518518518518515
CLR,1000,No,scalefree,Yes,0.5018620943952802,0.03880434116050357,0.14221218961625282
CLR,1000,yes,scalefree,No,0.5595132743362833,0.1270913555540947,0.19178082191780824
GENIE3,1000,No,scalefree,No,0.6667994100294985,0.36041833112307675,0.358974358974359
GENIE3,1000,No,scalefree,Yes,0.5073543510324483,0.017891175903663143,0.14163250093179278
GENIE3,1000,yes,scalefree,No,0.6929682890855458,0.29467717664916504,0.3590664272890484
TIGRESS,1000,No,scalefree,No,0.5042957227138644,0.008575499767846977,0.14930139720558883
TIGRESS,1000,No,scalefree,Yes,0.477212389380531,-0.04663554312244211,0.1394302848575712
TIGRESS,1000,yes,scalefree,No,0.43453816371681414,-0.0941191245653911,0.14210919970082275
Lasso,1000,No,random,No,0.9956679890605239,0.7275866016560547,0.7413793103448275
Lasso,1000,No,random,Yes,0.5226788744878876,0.030609792281952566,0.1196969696969697
Lasso,1000,yes,random,No,0.6634962544184889,-0.2594249476913363,0.0855183541750706
LSCO,1000,No,random,No,0.9861405376774153,0.9553167697271624,0.9573770491803278
LSCO,1000,No,random,Yes,0.5059007772216758,0.018038504667689186,0.11942554799697656
LSCO,1000,yes,random,No,0.7018019868337135,0.37779870359871515,0.32673267326732675
CLR,1000,No,random,No,0.6034683111913437,0.17516214644627967,0.22994652406417113
CLR,1000,No,random,Yes,0.4995730145175064,-0.0073494337420139414,0.08211818879508825
CLR,1000,yes,random,No,0.589688570841756,0.16842384536112093,0.2222222222222222
GENIE3,1000,No,random,No,0.726129349576798,0.35473551800356895,0.39506172839506176
GENIE3,1000,No,random,Yes,0.5006134538261142,0.00407758761118424,0.0873866446826051
GENIE3,1000,yes,random,No,0.7095025889372927,0.3200069649123259,0.3656509695290858
TIGRESS,1000,No,random,No,0.505888616242744,0.014694389918080397,0.09720021130480719
TIGRESS,1000,No,random,Yes,0.4829205807002562,-0.04722504806519455,0.08684546615581099
